reply_id,reply_text,tweet_id,tweet_text,toxicspeech,counterspeech,support,esplicito,irony,ostile,alternativa,cs_type
'1329372326127955968',"'E specifico: una può essere autorevole quanto le pare, ma se si trova in un ambiente maschilista sarà comunque recintata e isolata. Giusto fare appello alle ragazze perché non abbiano paura, ma se falliscono non è necessariamente per un loro limite.'",'1329372324706070528',"'I beg to differ, le donne non sono tenute a risolvere un problema che non hanno creato se non nella misura in cui devono lavorare sul proprio pregiudizio di genere.
Il maschilismo dei maschi lo devono risolvere i maschi. https://t.co/hhENSkEQ6j'",-1,1,-1,1,-1,0,-1,amx
'1329373214158573569',"'@Giulia_B Ciao, sono autorevole. Altrimenti detta 'scontrosa, noiosa, nervosa, incazzosa, dura, etc'
 Damned if you do, damned if you don't.'",'1329372324706070528',"'I beg to differ, le donne non sono tenute a risolvere un problema che non hanno creato se non nella misura in cui devono lavorare sul proprio pregiudizio di genere.
Il maschilismo dei maschi lo devono risolvere i maschi. https://t.co/hhENSkEQ6j'",-1,1,-1,-1,-1,0,-1,mamx
'1329373515661897728',"'@Giulia_B Trovo anzi il concetto di ""fargliela vedere"" abbastanza machista. Una libertà che le donne non hanno è anche quella del non dover dimostrare niente a nessuno. Ma anche basta con questa storia.'",'1329372324706070528',"'I beg to differ, le donne non sono tenute a risolvere un problema che non hanno creato se non nella misura in cui devono lavorare sul proprio pregiudizio di genere.
Il maschilismo dei maschi lo devono risolvere i maschi. https://t.co/hhENSkEQ6j'",-1,1,-1,-1,-1,0,-1,mamx
'1329373642178834432',"'@Giulia_B però dice che così ""si combatte"" il maschilismo

non basterà e non risolverà tutto, ma intanto la lotta è sempre da fare :)'",'1329372324706070528',"'I beg to differ, le donne non sono tenute a risolvere un problema che non hanno creato se non nella misura in cui devono lavorare sul proprio pregiudizio di genere.
Il maschilismo dei maschi lo devono risolvere i maschi. https://t.co/hhENSkEQ6j'",-1,-1,-1,ND,ND,ND,ND,ND
'1329374573515706368','@catlatorre Ringraziamo le destre e le sinistre per questo.....','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
"'1,32937E+18'",'@DebAttanasio Intendeva anche quello.','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329376307843633153',"'@Giulia_B @franbaldassarri Già, perché in fondo deve pur sempre colpa nostra. 🤷'",'1329372324706070528',"'I beg to differ, le donne non sono tenute a risolvere un problema che non hanno creato se non nella misura in cui devono lavorare sul proprio pregiudizio di genere.
Il maschilismo dei maschi lo devono risolvere i maschi. https://t.co/hhENSkEQ6j'",-1,1,-1,-1,1,1,-1,mamx
'1329378291871080448',"'@DebAttanasio Bruno Vespa continua con la sua disinformazione utilizzando le reti del Servizio Pubblico. 

@RaiUno e @ODG_CNOG come considerano l'operato del Vespa-?'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329378875302940672','@catlatorre Mortificati e demoralizzati soprattutto quelli che certi personaggi non li hanno mai votati','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329379913871347712','@MadameA02 Soprattutto quando si tratta di violenza sulle donne. #Bestie','1329362205834403842',"'In Italia spesso funziona cosi:

La vittima diventa automaticamente il colpevole.'",-1,-1,-1,ND,ND,ND,ND,ND
'1329380186773708801',"'@catlatorre spero che quando all'epoca vinse la lega, tu
 non sia stata una di quelli che dava dei mafiosi ai calabresi'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329380307229954053',"'@catlatorre Bene così, l'epurazione procede. Spero sia solo l'inizio.'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329382980205371392',"'@catlatorre se tante persone perbene non si smarcano dalle 'ndrine e dai partiti collusi con esse, dovranno godersi ancora questa situazione infognata!'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329383099030003714','@TizianaFerrario Oramai l'unica speranza di un cambiamento radicale può arrivare solo da uno scatto d'orgoglio da parte delle persone che abitano in certe zone.','1329382525270188035',"'Come mai non sono stupita che in Calabria anche in Consiglio Regionale ci siano infiltrazioni mafiose? Spero che Tallini possa uscirne pulito,lo spero x i calabresi che sono senza presidente reg. senza una sanità efficiente,senza un commissario.Una vergogna https://t.co/INkccSYses'",-1,-1,-1,ND,ND,ND,ND,ND
'1329384369593724930','@DebAttanasio Ma vuoi mettere la soddisfazione di essere iscritti a un Albo? Che poi magari l'ha istituito per avere sottomano la lista di quelli da andare a prendere...','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329387376825815040','@TizianaFerrario La Calabria è senza Stato!','1329382525270188035',"'Come mai non sono stupita che in Calabria anche in Consiglio Regionale ci siano infiltrazioni mafiose? Spero che Tallini possa uscirne pulito,lo spero x i calabresi che sono senza presidente reg. senza una sanità efficiente,senza un commissario.Una vergogna https://t.co/INkccSYses'",-1,-1,-1,ND,ND,ND,ND,ND
'1329387724533592064',"'@catlatorre ""I calabresi perbene"" sono la maggior parte. Queste sottolineature sono vagamente ipocrite e tendenziose, non crede?'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,1,-1,-1,-1,0,-1,raraa
'1329388060061163520','@Iperbole_ Pensa un po’ che livello!','1329387665117106177',"'""Il fascismo? Il fascismo non era razzista: civilizzò l'Africa"".

Queste le parole, tempo fa, di #Tallini, Presidente del Consiglio regionale della Calabria arrestato oggi per 'ndrangheta.

Che strani i fascisti accusati di favori alle mafie eh? #sarcasmo https://t.co/q94VM0npx7'",-1,-1,-1,ND,ND,ND,ND,ND
'1329388179103879176',"'@catlatorre E si continua a  parlare del rifiuto del rettore della Sapienza, e peggio credete  o volete credere, anche alle motivazioni addotte. Ma dopo una vita e una carriera accademica brillante chi viene  a sputtanarsi da voi?'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329388371764981760','@DebAttanasio Da che cosa deriva il potere di uno come #Vespa? Ecco una domanda alla quale il #giornalismo d'inchiesta italiano saprà dare la risposta esatta. O no?','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329389742702653441',"'@TizianaFerrario La commissione antimafia lo aveva segnalato come impresentabile eppure lo hanno fatto presidente del consiglio regionale, a cosa servono queste segnalazioni se poi non vengono prese in considerazioni o ritenute solo una questione morale?'",'1329382525270188035',"'Come mai non sono stupita che in Calabria anche in Consiglio Regionale ci siano infiltrazioni mafiose? Spero che Tallini possa uscirne pulito,lo spero x i calabresi che sono senza presidente reg. senza una sanità efficiente,senza un commissario.Una vergogna https://t.co/INkccSYses'",-1,1,-1,-1,-1,0,-1,axa
'1329390437514227714','@catlatorre .. e ribrezzo per chi li ha scelti o votati','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329391489399533574','@DebAttanasio E l'Albo dei Giornalisti sarebbe una cosa buona? 🙂','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329391874977705985',"'@Iperbole_ Forse non ha studiato bene la storia, sul colonialismo che fece solo danni, i figli mulatti che vennero rinnegati, etc.etc.'",'1329387665117106177',"'""Il fascismo? Il fascismo non era razzista: civilizzò l'Africa"".

Queste le parole, tempo fa, di #Tallini, Presidente del Consiglio regionale della Calabria arrestato oggi per 'ndrangheta.

Che strani i fascisti accusati di favori alle mafie eh? #sarcasmo https://t.co/q94VM0npx7'",-1,1,1,-1,-1,0,-1,arax
'1329393369055899651',"'@MadameA02 Mettetelo a fare servizio sociale nei centri ""d'accoglienza"" in Libia'",'1329392734143131648',"'Ecco dove vorrei vederti.
Dietro le sbarre! https://t.co/tkKEtQv9C3'",-1,-1,-1,ND,ND,ND,ND,ND
'1329394475098050560',"'@catlatorre La fama del sig. Tallini lo precede e da catanzarese ti posso assicurare che la prima presa di coscienza e di responsabilità dovrebbe partire dai ns. genitori che per anni hanno lasciato la ns. terra all'inerzia di certe cose pur sapendo, pur sapendo. Non siamo tutti innocenti.'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329395094680637441','@DebAttanasio E Matteotti no?','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329396548451569665',"'@catlatorre Una purtroppo è mancata, il commissario non lo scelgono i cittadini...l’altro se lo sono votato loro'",'1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329396701900234752','@MadameA02 In galera!!','1329392734143131648',"'Ecco dove vorrei vederti.
Dietro le sbarre! https://t.co/tkKEtQv9C3'",-1,-1,-1,ND,ND,ND,ND,ND
'1329397008856199170','@catlatorre però è la regione che ha più di ventimila idraulici di montagna stanchi','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329397549963284481','@DebAttanasio Cavolo! L'albo va eliminato.','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329397909234851840',"'@TizianaFerrario @nuccia20 A  volte mi chiedo se nelle altre nazioni europee vi sia lo stesso fenomeno di corruzione, solo più celato o sia molto.inferiore, inesistente non credo'",'1329382525270188035',"'Come mai non sono stupita che in Calabria anche in Consiglio Regionale ci siano infiltrazioni mafiose? Spero che Tallini possa uscirne pulito,lo spero x i calabresi che sono senza presidente reg. senza una sanità efficiente,senza un commissario.Una vergogna https://t.co/INkccSYses'",-1,-1,-1,ND,ND,ND,ND,ND
'1329400412634558465',"'@MadameA02 Meglio senza sbarre, quattro mura e una porta di ferro'",'1329392734143131648',"'Ecco dove vorrei vederti.
Dietro le sbarre! https://t.co/tkKEtQv9C3'",-1,-1,-1,ND,ND,ND,ND,ND
'1329401484874817537',"'@DebAttanasio Vabbè, ma se uno legge i libri di Vespa, se la cerca.'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329401774340513795','@DebAttanasio Non ha alcun senso dire che m. ha fatto anche cose buone..','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,1,1,-1,-1,0,-1,aax
'1329406079919411207','@MadameA02 Perché tanto odio ? Ha difeso i nostri confini...','1329392734143131648',"'Ecco dove vorrei vederti.
Dietro le sbarre! https://t.co/tkKEtQv9C3'",-1,-1,-1,ND,ND,ND,ND,ND
'1329406646439833601','@DebAttanasio Mettiamoci anche Carlo e Nello Rosselli','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329406902082662401','@catlatorre Vero è  che anche i calabresi per bene hanno votato certi personaggi....purtroppo spesso ci si fa fregare...triste..','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329408091104948227','@catlatorre Mi viene da dire: che tristezza per le persone perbene dell'intero paese...','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329409290701058049','@DebAttanasio O Gramsci.','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329409717874155522',"'@DebAttanasio @acamilli Un giornalista con la ""schiena dritta"" come Vespa non avrebbe corso rischi né prima, né durante, né dopo il Ventennio...'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329410054802579457',"'@DebAttanasio Giacomo Matteotti, giornalista, ammazzato dagli squadristi fascisti nel 1924... https://t.co/dg8oqvNd4H'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329410842845122561','@manginobrioches 😂😂😂😂🤣','1329408640449720322',"'Al solito, la politica vuol provvedere ma ha capito male: avvisateli che in #Calabria ci mancano i commissari, non gli indagati.

#Tallini'",-1,-1,-1,ND,ND,ND,ND,ND
'1329415915746832385','@MadameA02 No schifo totale','1329362205834403842',"'In Italia spesso funziona cosi:

La vittima diventa automaticamente il colpevole.'",-1,-1,-1,ND,ND,ND,ND,ND
'1329416735292862465',"'@DebAttanasio Beh...
Vespa...Ci sta dicendo che nel ventennio sarebbe stato....perfetto..!'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329418725297106946','@TizianaFerrario Mi viene R.I.P. Ma la Santelli anche lei di Forza Italia non ne sapeva nulla? È il sostituto della Santelli che dire?','1329382525270188035',"'Come mai non sono stupita che in Calabria anche in Consiglio Regionale ci siano infiltrazioni mafiose? Spero che Tallini possa uscirne pulito,lo spero x i calabresi che sono senza presidente reg. senza una sanità efficiente,senza un commissario.Una vergogna https://t.co/INkccSYses'",-1,-1,-1,ND,ND,ND,ND,ND
'1329419542951579649','@DebAttanasio Dettagli insignificanti? 🤔','1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329420158495051783',"'@Giulia_B Video molto problematico dall’inizio alla fine... L’intervistatrice che le chiede come si concilia famiglia e lavoro, lei che dice praticamente che basta l’autostima per combattere il maschilismo...'",'1329372324706070528',"'I beg to differ, le donne non sono tenute a risolvere un problema che non hanno creato se non nella misura in cui devono lavorare sul proprio pregiudizio di genere.
Il maschilismo dei maschi lo devono risolvere i maschi. https://t.co/hhENSkEQ6j'",-1,1,-1,1,-1,1,-1,mamm
'1329421484775903234',"'@DebAttanasio @CoGiafra ... evidentemente, per lui, quelle erano cose buone'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329423579793010691',"'@DebAttanasio Il problema non è Vespa, ma gli altri giornalisti che gli fanno da cassa di risonanza, troppi e troppo senza spina dorsale.'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,1,ND,ND,ND,ND,ND
'1329425403136651271',"'@DebAttanasio Si è dimenticato altresì dei fratelli Rosselli, giornalisti fatti ammazzare in Francia perchè non erano d’accordo...'",'1329371233939582980',"'Bruno Vespa dice che fino al '33 Mussolini ha fatto cose buone compreso l'Albo dei Giornalisti, al tempo professione rispettata. Ha dimenticato di citare i giornalisti Piero Gobetti e Giovanni Amendola, morti per le conseguenze delle botte prese dai suoi squadristi. #19novembre'",-1,-1,-1,ND,ND,ND,ND,ND
'1329427731478671363','@catlatorre Ma anche chi lo vota non è molto sveglio ....... mi pare','1329357142663565313',"'Il Presidente del Consiglio regionale della Calabria, #Tallini, ai domiciliari per 'ndrangheta. 

Calabria senza Presidente, senza Presidente del Consiglio regionale e senza Commissario alla Sanità.

Che tristezza per i tanti e le tante calabresi perbene...'",-1,-1,-1,ND,ND,ND,ND,ND
'1329428448801140739','@Iperbole_ L'autrice del libro è una garanzia eh... 🤣🤣🤣','1329427824885846016',"'Salvini e l'ennesima crociata: ""Ma basta con questa Amazon!""

Coerente, come sempre. https://t.co/mVCNmdSLYa'",-1,-1,-1,ND,ND,ND,ND,ND
'1329428584218435586','@Iperbole_ Ma l’intervista allo specchio finisce tirando lo sciacquone?','1329427824885846016',"'Salvini e l'ennesima crociata: ""Ma basta con questa Amazon!""

Coerente, come sempre. https://t.co/mVCNmdSLYa'",-1,-1,-1,ND,ND,ND,ND,ND
'1329429201808728066','@Iperbole_ C'è pure lui tra i coerenti https://t.co/UGskl944b3','1329427824885846016',"'Salvini e l'ennesima crociata: ""Ma basta con questa Amazon!""

Coerente, come sempre. https://t.co/mVCNmdSLYa'",-1,-1,-1,ND,ND,ND,ND,ND
'1329429838294380545',"'@Iperbole_ Che dire... mi affido alla recensione di Ilario su ""Io sono Matteo Salvini"" https://t.co/7qvdvqTcrr'",'1329427824885846016',"'Salvini e l'ennesima crociata: ""Ma basta con questa Amazon!""

Coerente, come sempre. https://t.co/mVCNmdSLYa'",-1,-1,-1,ND,ND,ND,ND,ND
